fid,station_id,date_from,date_to,altitude,latitude,longitude,name,state,1
"1","73",1953/01/01,2020/12/31,"340",48.6159,13.0506,Aldersbach-Kriestorf,Bayern,339.470001220703
"2","142",1955/01/01,2020/12/31,"511",48.406,11.3117,Altomünster-Maisbrunn,Bayern,508.619995117188
"3","151",1881/01/01,2020/12/31,"382",49.4691,11.8546,Amberg-Unterammersricht,Bayern,381.589996337891
"4","154",1994/01/01,2020/12/31,"516",48.0197,12.2925,Amerang-Pfaffing,Bayern,515.580017089844
"5","191",1884/01/01,2020/12/31,"217",49.9694,9.9114,Arnstein-Müdesheim,Bayern,216
"6","217",1938/01/01,2020/12/31,"670",47.8774,11.3643,Attenkam,Bayern,672.200012207031
"7","232",1947/01/01,2020/12/31,"462",48.4253,10.9417,Augsburg,Bayern,461.839996337891
"8","282",1949/01/01,2020/12/31,"240",49.8743,10.9206,Bamberg,Bayern,239.470001220703
"9","320",1851/01/01,2020/12/31,"350",49.9667,11.5197,Heinersreuth-Vollhof,Bayern,348.049987792969
"10","856",1998/01/01,2020/12/31,"551",47.8843,12.5404,Chieming,Bayern,549.909973144531
"11","867",1883/01/01,2020/12/31,"344",50.3066,10.9679,Lautertal-Oberlauter,Bayern,342.429992675781
"12","983",2007/01/01,2020/12/31,"419",48.5562,10.5599,Dillingen/Donau-Fristingen,Bayern,418.929992675781
"13","1103",1938/01/01,2020/12/31,"592",48.1003,11.9872,Ebersberg-Halbing,Bayern,587.190002441406
"14","1107",1948/01/01,2020/12/31,"346",49.852,10.4991,Ebrach,Bayern,346.410003662109
"15","1161",1952/01/01,2020/12/31,"384",48.8777,11.2349,Eichstätt-Landershofen,Bayern,384.309997558594
"16","1262",1992/05/17,2020/12/31,"446",48.3477,11.8134,München-Flughafen,Bayern,445.309997558594
"17","1279",1881/01/01,2020/12/31,"268",49.6497,11.0074,Möhrendorf-Kleinseebach,Bayern,267.510009765625
"18","1332",1937/01/01,2020/12/31,"471",48.4832,12.7241,"Falkenberg,Kr.Rottal-Inn",Bayern,470.670013427734
"19","1357",1947/01/01,2020/12/31,"655",49.9807,11.8376,Fichtelberg/Oberfranken-Hütts,Bayern,651.309997558594
"20","1550",1889/01/01,2020/12/31,"719",47.483,11.0621,Garmisch-Partenkirchen,Bayern,718.5
"21","1587",1998/01/01,2020/12/31,"536",48.9481,11.4289,Gelbelsee,Bayern,537.25
"22","1721",1991/01/01,2020/12/31,"506",49.664,11.2239,Gräfenberg-Kasberg,Bayern,505.290008544922
"23","1735",1958/01/01,2020/12/31,"628",48.7894,13.629,Grainet-Rehberg,Bayern,624.840026855469
"24","1832",1982/11/05,2020/12/31,"436",49.1129,13.1338,Großer Arber,Bayern,1434.92004394531
"25","1886",2016/09/01,2020/12/31,"444",48.4878,10.2608,Günzburg,Bayern,443.769989013672
"26","2023",1998/01/03,2020/12/31,"501",48.7918,10.7062,Harburg,Bayern,498.350006103516
"27","2261",1947/01/01,2020/12/31,"565",50.3123,11.876,Hof,Bayern,565.140014648438
"28","2290",1781/01/01,2020/12/31,"977",47.8009,11.0108,Hohenpeißenberg,Bayern,958.869995117188
"29","2319",1953/01/01,2020/12/31,"685",47.8823,11.6961,Holzkirchen,Bayern,684.909973144531
"30","2410",2017/01/01,2021/01/31,"364",48.7112,11.5362,Ingolstadt (Flugplatz),Bayern,363.859985351562
"31","2480",1896/01/01,2020/12/31,"108",50.0643,8.993,Kahl/Main,Bayern,107.430000305176
"32","2559",1881/01/01,2020/12/31,"705",47.7233,10.3348,Kempten,Bayern,703.130004882812
"33","2597",1881/01/01,2020/12/31,"282",50.224,10.0792,"Kissingen, Bad",Bayern,279.200012207031
"34","2600",1941/01/01,2020/12/31,"193",49.7363,10.1781,Kitzingen,Bayern,190.300003051758
"35","2680",1948/01/01,2020/12/31,"289",50.284,10.4456,"Königshofen, Bad",Bayern,289.130004882812
"36","2700",1947/01/01,2020/12/31,"416",48.8302,11.4872,Kösching,Bayern,414.970001220703
"37","2708",1992/01/01,2020/12/31,"742",47.6652,11.0805,"Kohlgrub, Bad (Rosshof)",Bayern,734.559997558594
"38","2750",1949/01/01,2020/12/31,"310",50.2524,11.3209,Kronach,Bayern,310.109985351562
"39","2773",2001/01/01,2021/01/31,"417",49.4283,11.9016,Kümmersbruck,Bayern,412.209991455078
"40","2905",2001/01/01,2021/01/31,"550",48.1849,10.8507,Lechfeld,Bayern,549.609985351562
"41","3147",1952/01/01,2019/12/31,"390",48.7548,12.2118,Mallersdorf-Pfaffenberg-Oberl,Bayern,390.260009765625
"42","3244",1940/01/01,2020/12/31,"615",47.982,10.1384,Memmingen,Bayern,614.460021972656
"43","3271",1881/01/01,2020/12/31,"314",48.8548,12.9189,Metten,Bayern,314.190002441406
"44","3307",1890/01/01,2020/12/31,"984",47.4779,11.2653,Mittenwald-Buckelwiesen,Bayern,984.690002441406
"45","3319",2007/01/01,2020/12/31,"239",49.7644,9.253,Röllbach,Bayern,236.75
"46","3366",1953/01/01,2020/12/31,"406",48.279,12.5024,Mühldorf,Bayern,405.630004882812
"47","3379",1955/01/01,2020/12/31,"515",48.1632,11.5429,München-Stadt,Bayern,514.669982910156
"48","3484",2002/01/01,2021/01/31,"380",48.7086,11.2147,Neuburg/Donau (Flugplatz),Bayern,378.890014648438
"49","3485",1992/01/01,2020/12/31,"486",48.3115,10.3773,Neuburg/Kammel-Langenhaslach,Bayern,487.809997558594
"50","3571",2009/01/01,2020/12/31,"452",49.8174,11.8638,Neustadt am Kulm-Filchendorf,Bayern,450.540008544922
"51","3621",1900/01/01,2020/12/31,"435",48.8253,10.5067,Reimlingen,Bayern,438.519989013672
"52","3667",1975/01/01,2020/12/31,"368",49.4258,11.2538,Nürnberg-Netzstall,Bayern,370.600006103516
"53","3668",1879/01/01,2020/12/31,"314",49.503,11.0549,Nürnberg,Bayern,313.260009765625
"54","3679",1937/01/01,2020/12/31,"518",47.6187,12.1665,Kiefersfelden-Gach,Bayern,519.169982910156
"55","3730",1886/01/01,2020/12/31,"806",47.3984,10.2759,Oberstdorf,Bayern,805.409973144531
"56","3739",1949/01/01,2020/12/31,"596",49.4521,12.4365,Oberviechtach,Bayern,590.5
"57","3836",1973/01/01,2020/12/31,"314",50.4538,10.2211,Ostheim v.d. Rhön,Bayern,313.350006103516
"58","3857",1994/01/01,2020/12/31,"886",47.6362,10.3892,Oy-Mittelberg-Petersthal,Bayern,885.280029296875
"59","3875",1950/01/01,2020/12/31,"549",49.151,11.6896,Parsberg/Oberpfalz-Eglwang,Bayern,546.859985351562
"60","3975",1950/01/01,2020/12/31,"522",49.4777,11.5357,Pommelsbrunn-Mittelburg,Bayern,520.440002441406
"61","4104",1879/01/01,2020/12/31,"365",49.0425,12.1019,Regensburg,Bayern,355.019989013672
"62","4261",1881/01/01,2020/12/31,"442",47.8753,12.128,Rosenheim,Bayern,441.549987792969
