station_id,altitude,latitude,longitude,name,amt_2017,amt_2018,amt_2019
73,340,48.6159,13.0506,Aldersbach-Kriestorf,9.38,10.73,10.16
142,511,48.406,11.3117,Altomünster-Maisbrunn,9.19,10.16,9.81
151,382,49.4691,11.8546,Amberg-Unterammersricht,9.3,10.39,10.09
154,516,48.0197,12.2925,Amerang-Pfaffing,8.91,9.98,9.57
191,217,49.9694,9.9114,Arnstein-Müdesheim,9.61,10.58,10.19
217,670,47.8774,11.3643,Attenkam,8.94,9.86,9.55
232,462,48.4253,10.9417,Augsburg,9.15,10.05,9.66
282,240,49.8743,10.9206,Bamberg,9.53,10.74,10.3
320,350,49.9667,11.5197,Heinersreuth-Vollhof,9.08,10.05,9.68
856,551,47.8843,12.5404,Chieming,9.37,10.31,9.95
983,419,48.5562,10.5599,Dillingen/Donau-Fristingen,9.33,10.33,9.88
1161,384,48.8777,11.2349,Eichstätt-Landershofen,9.04,10.11,9.58
1262,446,48.3477,11.8134,München-Flughafen,9.18,10.18,9.84
1279,268,49.6497,11.0074,Möhrendorf-Kleinseebach,10.08,11.3,10.77
1332,471,48.4832,12.7241,"Falkenberg,Kr.Rottal-Inn",9.53,10.66,10.24
1357,655,49.9807,11.8376,Fichtelberg/Oberfranken-Hütts,7.34,8.3,8.2
1550,719,47.483,11.0621,Garmisch-Partenkirchen,8.06,8.91,8.64
1587,536,48.9481,11.4289,Gelbelsee,9.07,10.19,9.93
1721,506,49.664,11.2239,Gräfenberg-Kasberg,8.97,10.33,9.78
1735,628,48.7894,13.629,Grainet-Rehberg,8.26,9.53,9.17
1886,444,48.4878,10.2608,Günzburg,9.08,10.03,9.56
2023,501,48.7918,10.7062,Harburg,9.26,10.38,9.97
2261,565,50.3123,11.876,Hof,8.18,9.14,9.03
2290,977,47.8009,11.0108,Hohenpeißenberg,8.02,8.94,8.68
2319,685,47.8823,11.6961,Holzkirchen,8.72,9.65,9.2
2480,108,50.0643,8.993,Kahl/Main,11.06,12.2,11.66
2559,705,47.7233,10.3348,Kempten,8.55,9.45,8.91
2597,282,50.224,10.0792,"Kissingen, Bad",9.63,10.76,10.31
2600,193,49.7363,10.1781,Kitzingen,10.57,11.64,11.17
2680,289,50.284,10.4456,"Königshofen, Bad",9.14,10.2,9.2
2700,416,48.8302,11.4872,Kösching,9.44,10.68,10.25
2708,742,47.6652,11.0805,"Kohlgrub, Bad (Rosshof)",8.2,9.08,8.77
2750,310,50.2524,11.3209,Kronach,8.95,10.0,9.69
3147,390,48.7548,12.2118,Mallersdorf-Pfaffenberg-Oberl,9.27,10.61,10.15
3244,615,47.982,10.1384,Memmingen,8.67,9.47,9.04
3271,314,48.8548,12.9189,Metten,9.02,10.53,10.07
3319,239,49.7644,9.253,Röllbach,10.14,11.22,10.63
