STATIONS_ID;MESS_DATUM_BEGINN;MESS_DATUM_ENDE;QN_4;JA_N;JA_TT;JA_TX;JA_TN;JA_FK;JA_SD_S;JA_MX_FX;JA_MX_TX;JA_MX_TN;QN_6;JA_RR;JA_MX_RS;eor
          1;19310101;19311231;    5;  -999;   7.52;    -999;    2.53;-999;-999;-999;-999;-999;    5;   799.3;   33.5;eor
          1;19320101;19321231;    5;  -999;   8.12;    -999;    3.21;-999;-999;-999;-999;-999;    5;   640.4;   41.4;eor
          1;19330101;19331231;    5;  -999;   7.68;    -999;    2.55;-999;-999;-999;-999;-999;    5;   750.1;   42.2;eor
          1;19340101;19341231;    5;  -999;   9.31;    -999;    3.78;-999;-999;-999;-999;-999;    5;   638.8;   49.8;eor
          1;19350101;19351231;    5;  -999;   8.41;    -999;    3.13;-999;-999;-999;-999;-999;    5;   824.7;   26.4;eor
          1;19360101;19361231;    5;  -999;   8.59;    -999;    3.88;-999;-999;-999;-999;-999;    5;   891.5;   32.4;eor
          1;19370101;19371231;    5;  4.95;   8.59;   13.29;    4.64;    1.70;-999;-999;  32.8; -11.0;    5;   817.4;   39.1;eor
          1;19380101;19381231;    5;  4.61;   8.18;   13.48;    3.78;    1.34;-999;-999;  31.5; -14.0;    5;   766.5;   30.2;eor
          1;19390101;19391231;    5;  5.48;   7.99;   12.23;    4.24;    1.49;-999;-999;  29.4; -21.2;    5;  1072.3;   36.2;eor
          1;19400101;19401231;    5;  4.95;   7.07;   11.85;    2.91;    1.34;-999;-999;  28.8; -20.4;    5;   966.2;   38.7;eor
          1;19410101;19411231;    5;  5.02;   7.61;   12.39;    3.23;    1.43;-999;-999;  33.6; -18.0;    5;   636.0;   24.1;eor
          1;19420101;19421231;    5;  4.91;   7.95;   13.05;    3.39;    1.36;-999;-999;  31.6; -23.2;    5;   734.3;   36.2;eor
          1;19430101;19431231;    5;  4.67;   9.57;   15.02;    4.68;    1.36;-999;-999;  38.2; -12.2;    5;   487.8;   22.0;eor
          1;19440101;19441231;    5;  5.26;   8.22;   12.99;    4.09;    1.49;-999;-999;  35.0; -12.0;    5;-999;   38.6;eor
          1;19470101;19471231;    5;  4.71;   9.38;   14.89;    4.37;    1.21;-999;-999;  37.2; -19.0;    5;   520.6;   30.8;eor
          1;19480101;19481231;    5;  5.04;   8.82;   14.37;    4.13;    1.08;-999;-999;  30.6; -13.2;    5;   613.0;   33.8;eor
          1;19490101;19491231;    5;  4.60;   9.27;   15.34;    3.96;    1.14;-999;-999;  35.0; -14.8;    5;   505.0;   29.4;eor
          1;19500101;19501231;    5;  5.10;   8.80;   14.39;    4.00;    0.95;-999;-999;  35.0; -12.6;    5;   774.9;   39.0;eor
          1;19510101;19511231;    5;  5.47;   8.74;   13.93;    4.05;    0.96;-999;-999;  32.2;  -8.8;    5;   688.3;   28.6;eor
          1;19520101;19521231;    5;  5.52;   8.33;   13.76;    3.76;    1.23;-999;-999;  36.2; -12.8;    5;   927.7;   60.5;eor
